authors,title,pub_date,source,doi,abstract,rank,url
"Friedman, A.",Stochastic Differential Equations and Applications,2010-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-11079-5_2,,22,"http://link.springer.com/content/pdf/10.1007/978-3-642-11079-5_2.pdf
http://dx.doi.org/10.1007/978-3-642-11079-5_2"
"Rota, G.",Stochastic differential equations and applications,1977-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0001-8708(77)90127-x,,23,"https://api.elsevier.com/content/article/PII:000187087790127X?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:000187087790127X?httpAccept=text/plain
http://dx.doi.org/10.1016/0001-8708(77)90127-x"
,Stochastic Differential Equations and Applications,1975-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/c2013-0-07332-x,,24,"https://api.elsevier.com/content/article/PII:C2013007332X?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:C2013007332X?httpAccept=text/plain
http://dx.doi.org/10.1016/c2013-0-07332-x"
"Sobczyk, K.",Stochastic Differential Equations: Numerical Methods,1991-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-94-011-3712-6_6,,25,"http://link.springer.com/content/pdf/10.1007/978-94-011-3712-6_6.pdf
http://dx.doi.org/10.1007/978-94-011-3712-6_6"
,Appendix C: Stochastic Differential Equations,2005-01-28 00:00:00,SupportedSources.CROSSREF,10.1002/0471725315.app3,,26,"https://onlinelibrary.wiley.com/doi/full/10.1002/0471725315.app3
http://dx.doi.org/10.1002/0471725315.app3"
Nicolas Privault,Stochastic Finance: An Introduction with Market Examples,2013-12-20 00:00:00,SupportedSources.OPENALEX,,,27,https://openalex.org/W561654139
C. Hackl,Foundations of Mathematical Finance and Stochastic Calculus,None,SupportedSources.SEMANTIC_SCHOLAR,10.1007/978-3-658-04688-0_2,,28,https://www.semanticscholar.org/paper/8f656c710abf5c60c68b9d029caae4de1be75202
"Keisler, H.",Stochastic Differential Equations with Extra Properties,1997-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-94-011-5544-1_9,,29,"http://link.springer.com/content/pdf/10.1007/978-94-011-5544-1_9.pdf
http://dx.doi.org/10.1007/978-94-011-5544-1_9"
"Comte, F.,Genon-Catalot, V.,Samson, A.",Nonparametric estimation for stochastic differential equations with random effects,2013-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.spa.2013.04.009,,30,"https://api.elsevier.com/content/article/PII:S030441491300104X?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S030441491300104X?httpAccept=text/plain
http://dx.doi.org/10.1016/j.spa.2013.04.009"
"Lescot, Paul,Valade, Laurène",Symmetries of partial differential equations and stochastic processes in mathematical physics and in finance,2019-04-01 00:00:00,SupportedSources.CORE,10.1088/1742-6596/1194/1/012070,International audienc,31,https://core.ac.uk/download/237318172.pdf
Yong Wang,Stochastic differential delay equation with jumps and application to finance,None,SupportedSources.SEMANTIC_SCHOLAR,,,32,https://www.semanticscholar.org/paper/149c4ea807b46b4c09768ee011599585c3a6df03
"Hsu, E.",Stochastic differential equations and diffusions,2002-02-05 00:00:00,SupportedSources.CROSSREF,10.1090/gsm/038/02,,33,http://dx.doi.org/10.1090/gsm/038/02
,STOCHASTIC DIFFERENTIAL EQUATIONS AND DIFFUSIONS,2000-09-07 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511805141.003,,34,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D7F48896B42B3E03FF76E13AF3721EFC
http://dx.doi.org/10.1017/cbo9780511805141.003"
"Platen, E.,Bruti-Liberati, N.",Stochastic Differential Equations with Jumps,2010-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-13694-8_1,,35,"https://link.springer.com/content/pdf/10.1007/978-3-642-13694-8_1
http://dx.doi.org/10.1007/978-3-642-13694-8_1"
,Chapter 1: Stochastic Differential Equations,2016-02-18 00:00:00,SupportedSources.CROSSREF,10.1137/1.9781611974249.ch1,,36,"http://epubs.siam.org/doi/pdf/10.1137/1.9781611974249.ch1
http://dx.doi.org/10.1137/1.9781611974249.ch1"
"Sobczyk, K.",Stochastic Differential Equations: Basic Theory,1991-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-94-011-3712-6_4,,37,"http://link.springer.com/content/pdf/10.1007/978-94-011-3712-6_4.pdf
http://dx.doi.org/10.1007/978-94-011-3712-6_4"
"Mao, X.",Stochastic Functional Differential Equations,2011-01-01 00:00:00,SupportedSources.CROSSREF,10.1533/9780857099402.147,,38,"http://woodhead.metapress.com/index/N083T85442052J04.pdf
http://dx.doi.org/10.1533/9780857099402.147"
"Fuchs, C.",Stochastic Differential Equations and Diffusions in a Nutshell,2012-08-24 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-25969-2_3,,39,"http://link.springer.com/content/pdf/10.1007/978-3-642-25969-2_3.pdf
http://dx.doi.org/10.1007/978-3-642-25969-2_3"
"Sobczyk, K.",Stochastic Differential Equations: Analytical Methods,1991-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-94-011-3712-6_5,,40,"http://link.springer.com/content/pdf/10.1007/978-94-011-3712-6_5.pdf
http://dx.doi.org/10.1007/978-94-011-3712-6_5"
David Nualart,Book Review: Stochastic calculus of variations in mathematical finance,2007-04-10 00:00:00,SupportedSources.INTERNET_ARCHIVE,10.1090/s0273-0979-07-01146-9,,41,https://web.archive.org/web/20180723083004/http://www.ams.org/journals/bull/2007-44-03/S0273-0979-07-01146-9/S0273-0979-07-01146-9.pdf
Rabab Alharbi,Nonlinear parabolic stochastic partial differential equation with application to finance,2021-01-18 00:00:00,SupportedSources.OPENALEX,,,42,https://openalex.org/W3138953334
"Peng, S.,Shi, Y.",Infinite horizon forward–backward stochastic differential equations,2000-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/s0304-4149(99)00066-6,,43,"https://api.elsevier.com/content/article/PII:S0304414999000666?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0304414999000666?httpAccept=text/plain
http://dx.doi.org/10.1016/s0304-4149(99)00066-6"
"Marek Musiela,Thaleia Zariphopoulou",Stochastic Partial Differential Equations and Portfolio Choice,2010-01-01 00:00:00,SupportedSources.OPENALEX,10.1007/978-3-642-03479-4_11,,44,"https://openalex.org/W195033016
https://doi.org/10.1007/978-3-642-03479-4_11"
"Elliott, R.,Siu, T.",Markovian forward–backward stochastic differential equations and stochastic flows,2012-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.sysconle.2012.04.013,,45,"https://api.elsevier.com/content/article/PII:S016769111200134X?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S016769111200134X?httpAccept=text/plain
http://dx.doi.org/10.1016/j.sysconle.2012.04.013"
,Chapter 8: Stochastic differential equations,1982-12-31 00:00:00,SupportedSources.CROSSREF,10.1515/9783110845563.239,,46,"http://www.degruyter.com/view/books/9783110845563/9783110845563.239/9783110845563.239.xml
https://www.degruyter.com/document/doi/10.1515/9783110845563.239/xml
https://www.degruyter.com/document/doi/10.1515/9783110845563.239/pdf
http://dx.doi.org/10.1515/9783110845563.239"
"Øksendal, B.",Application to Mathematical Finance,2003-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-14394-6_12,,47,"http://link.springer.com/content/pdf/10.1007/978-3-642-14394-6_12
http://dx.doi.org/10.1007/978-3-642-14394-6_12"
,Stochastic differential equations and stochastic flows,2010-02-04 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511845079.020,,48,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D5BACE03B3B8568F6E19E4A677458A89
http://dx.doi.org/10.1017/cbo9780511845079.020"
"Kunita, H.",Stochastic Differential Equations and Stochastic Flows,2019-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-981-13-3801-4_3,,49,"http://link.springer.com/content/pdf/10.1007/978-981-13-3801-4_3
http://dx.doi.org/10.1007/978-981-13-3801-4_3"
"Peter A. Forsyth,Kenneth R. Vetzal",Numerical Methods for Nonlinear PDEs in Finance,2011-07-10 00:00:00,SupportedSources.INTERNET_ARCHIVE,10.1007/978-3-642-17254-0_18,,50,https://web.archive.org/web/20170808073926/https://cs.uwaterloo.ca/~paforsyt/entry.pdf
,Stochastic Differential Equations: Weak Formulation,2010-01-29 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9781139087353.003,,51,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E1DE1DD1F45938DE248DAC8E2D5EA1BA
http://dx.doi.org/10.1017/cbo9781139087353.003"
"Possamaï, D.,Zhou, C.",Second order backward stochastic differential equations with quadratic growth,2013-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.spa.2013.05.007,,52,"https://api.elsevier.com/content/article/PII:S0304414913001592?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0304414913001592?httpAccept=text/plain
http://dx.doi.org/10.1016/j.spa.2013.05.007"
,Stochastic Differential Equations and Diffusion Processes,1981-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/s0924-6509(08)x7014-x,,53,"https://api.elsevier.com/content/article/PII:S0924650908X7014X?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0924650908X7014X?httpAccept=text/plain
http://dx.doi.org/10.1016/s0924-6509(08)x7014-x"
"Mikkel Baadsgaard,Jan Nygaard Nielsen,H. Madsen,M. Preisel",Sampling Techniques in stochastic differential equations: Conference on Mathematical Finance,None,SupportedSources.SEMANTIC_SCHOLAR,,,54,https://www.semanticscholar.org/paper/92f059bcdbab4a70b1a15f63eb380695414abf08
"Debussche, A.,Rozovsky, B.",Stochastic partial differential equations: analysis and computations,2013-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/s40072-013-0009-z,,55,"http://link.springer.com/content/pdf/10.1007/s40072-013-0009-z.pdf
http://link.springer.com/article/10.1007/s40072-013-0009-z/fulltext.html
http://link.springer.com/content/pdf/10.1007/s40072-013-0009-z
http://dx.doi.org/10.1007/s40072-013-0009-z"
,Stochastic Partial Differential Equations: Analysis and Computations,None,SupportedSources.CROSSREF,10.1007/40072.2194-041x,,56,http://dx.doi.org/10.1007/40072.2194-041x
"Liu, W.,Röckner, M.",Stochastic Partial Differential Equations: An Introduction,2015-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-22354-4,,57,"https://link.springer.com/content/pdf/10.1007/978-3-319-22354-4.pdf
https://link.springer.com/content/pdf/10.1007/978-3-319-22354-4
http://dx.doi.org/10.1007/978-3-319-22354-4"
,Stochastic Differential Equations in Infinite Dimensions,2014-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-0-387-31439-6_100250,,58,"http://link.springer.com/content/pdf/10.1007/978-0-387-31439-6_100250
http://dx.doi.org/10.1007/978-0-387-31439-6_100250"
,Stochastic Differential Equations in Infinite Dimensions,2005-08-23 00:00:00,SupportedSources.CROSSREF,10.1201/9781420034820.ch1,,59,http://dx.doi.org/10.1201/9781420034820.ch1
"Gawarecki, L.,Mandrekar, V.",Stochastic Differential Equations in Infinite Dimensions,2011-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-16194-0,,60,"https://link.springer.com/content/pdf/10.1007/978-3-642-16194-0.pdf
https://link.springer.com/content/pdf/10.1007/978-3-642-16194-0
http://dx.doi.org/10.1007/978-3-642-16194-0"
C. Reisinger,Numerical solutions to a class of stochastic partial differential equations arising in finance,None,SupportedSources.SEMANTIC_SCHOLAR,,,61,https://www.semanticscholar.org/paper/4ee8554466c84318f0af479ae0a9e879167cad34
"Jan Nielsen,Henrik Madsen,Peter C. Young",Parameter estimation in stochastic differential equations: An overview,2000-01-01 00:00:00,SupportedSources.OPENALEX,10.1016/s1367-5788(00)90017-8,,62,"https://openalex.org/W2059910636
https://doi.org/10.1016/s1367-5788(00)90017-8"
"Vickson, R.",An Intuitive Outline of Stochastic Differential Equations and Stochastic Optimal Control,1975-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/b978-0-12-780850-5.50040-x,,63,"https://api.elsevier.com/content/article/PII:B978012780850550040X?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:B978012780850550040X?httpAccept=text/plain
http://dx.doi.org/10.1016/b978-0-12-780850-5.50040-x"
"Pham, H.",Backward stochastic differential equations and optimal control,2009-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-540-89500-8_6,,64,"http://link.springer.com/content/pdf/10.1007/978-3-540-89500-8_6.pdf
http://dx.doi.org/10.1007/978-3-540-89500-8_6"
"Owo, J.",Backward doubly stochastic differential equations with discontinuous and stochastic linear growth generator,2022-08-05 00:00:00,SupportedSources.CROSSREF,10.1080/07362994.2022.2104314,,65,"https://www.tandfonline.com/doi/pdf/10.1080/07362994.2022.2104314
http://dx.doi.org/10.1080/07362994.2022.2104314"
T. Cipra,Financial Stochastic Analysis,None,SupportedSources.SEMANTIC_SCHOLAR,10.1007/978-3-7908-2593-0_15,,66,https://www.semanticscholar.org/paper/a9a031bd44650ac12b2cfaec3a0f8be91949a8c3
"Zhu, Q.,Shi, Y.",Forward-backward doubly stochastic differential equations and related stochastic partial differential equations,2012-05-20 00:00:00,SupportedSources.CROSSREF,10.1007/s11425-012-4411-1,,67,"http://link.springer.com/content/pdf/10.1007/s11425-012-4411-1.pdf
http://link.springer.com/article/10.1007/s11425-012-4411-1/fulltext.html
http://link.springer.com/content/pdf/10.1007/s11425-012-4411-1
http://dx.doi.org/10.1007/s11425-012-4411-1"
"Jim Douglas,Jin Ma,Philip Protter",Numerical methods for forward-backward stochastic differential equations,1996-08-01 00:00:00,SupportedSources.OPENALEX,10.1214/aoap/1034968235,,68,"https://openalex.org/W2052883417
https://doi.org/10.1214/aoap/1034968235
https://doi.org/10.1214/aoap/1034968235"
"Henderson, D.,Plaschko, P.",Stochastic Differential Equations in Science and Engineering,2006-01-01 00:00:00,SupportedSources.CROSSREF,10.1142/5806,,69,http://dx.doi.org/10.1142/5806
,Introduction: Stochastic differential equations,2010-01-01 00:00:00,SupportedSources.CROSSREF,10.1142/9789814322195_0001,,70,http://dx.doi.org/10.1142/9789814322195_0001
"Guangchen Wang,Hua Xiao",Arrow Sufficient Conditions for Optimality of Fully Coupled Forward–Backward Stochastic Differential Equations with Applications to Finance,2015-05-01 00:00:00,SupportedSources.OPENALEX,10.1007/s10957-014-0625-4,,71,"https://openalex.org/W1968801805
https://doi.org/10.1007/s10957-014-0625-4"
"Schuss, Z.",Stochastic Differential Equations,2009-11-27 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4419-1605-1_4,,72,"https://link.springer.com/content/pdf/10.1007/978-1-4419-1605-1_4
http://dx.doi.org/10.1007/978-1-4419-1605-1_4"
"Griffiths, D.,Higham, D.",Stochastic Differential Equations,2010-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-0-85729-148-6_16,,73,"https://link.springer.com/content/pdf/10.1007/978-0-85729-148-6_16
http://dx.doi.org/10.1007/978-0-85729-148-6_16"
"Klenke, A.",Stochastic Differential Equations,2014-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4471-5361-0_26,,74,"https://link.springer.com/content/pdf/10.1007/978-1-4471-5361-0_26
http://dx.doi.org/10.1007/978-1-4471-5361-0_26"
,Stochastic differential equations,2018-06-27 00:00:00,SupportedSources.CROSSREF,10.1142/9789813225329_0008,,75,http://dx.doi.org/10.1142/9789813225329_0008
"Sobczyk, K.",Stochastic Differential Equations,1991-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-94-011-3712-6,,76,"http://link.springer.com/content/pdf/10.1007/978-94-011-3712-6.pdf
http://link.springer.com/content/pdf/10.1007/978-94-011-3712-6
http://dx.doi.org/10.1007/978-94-011-3712-6"
"Koralov, L.,Sinai, Y.",Stochastic Differential Equations,2012-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-540-68829-7_21,,77,"http://link.springer.com/content/pdf/10.1007/978-3-540-68829-7_21.pdf
http://dx.doi.org/10.1007/978-3-540-68829-7_21"
"Friedman, A.",Stochastic Differential Equations,1975-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/b978-0-12-268201-8.50010-4,,78,"https://api.elsevier.com/content/article/PII:B9780122682018500104?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:B9780122682018500104?httpAccept=text/plain
http://dx.doi.org/10.1016/b978-0-12-268201-8.50010-4"
,Stochastic Differential Equations,2002-05-13 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511549878.006,,79,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/C62B0FFBED84E76CCBFBE8D5E75D43D1
http://dx.doi.org/10.1017/cbo9780511549878.006"
"Karatzas, I.,Shreve, S.",Stochastic Differential Equations,1998-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4612-0949-2_5,,80,"http://link.springer.com/content/pdf/10.1007/978-1-4612-0949-2_5
http://dx.doi.org/10.1007/978-1-4612-0949-2_5"
"Giandomenico, R.",Stochastic Differential Equations,2015-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.2575456,,81,http://dx.doi.org/10.2139/ssrn.2575456
"Schäffler, S.",Stochastic Differential Equations,2018-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-78768-8_3,,82,"http://link.springer.com/content/pdf/10.1007/978-3-319-78768-8_3
http://dx.doi.org/10.1007/978-3-319-78768-8_3"
,Stochastic differential equations,2004-07-05 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511755323.009,,83,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4D637C32DE60634F50F83993800C2B67
http://dx.doi.org/10.1017/cbo9780511755323.009"
"Rytov, S.,Kravtsov, Y.,Tatarskii, V.",Stochastic Differential Equations,1987-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-69201-7_6,,84,"http://link.springer.com/content/pdf/10.1007/978-3-642-69201-7_6.pdf
http://dx.doi.org/10.1007/978-3-642-69201-7_6"
"Platen, E.,Heath, D.",Stochastic Differential Equations,2006-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-540-47856-0_7,,85,"http://link.springer.com/content/pdf/10.1007/978-3-540-47856-0_7.pdf
http://dx.doi.org/10.1007/978-3-540-47856-0_7"
,Stochastic Differential Equations,None,SupportedSources.CROSSREF,10.1007/springerreference_205651,,86,http://dx.doi.org/10.1007/springerreference_205651
,Stochastic Differential Equations,2011-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-11079-5,,87,"http://link.springer.com/content/pdf/10.1007/978-3-642-11079-5.pdf
http://link.springer.com/content/pdf/10.1007/978-3-642-11079-5
http://dx.doi.org/10.1007/978-3-642-11079-5"
"VAN KAMPEN, N.",STOCHASTIC DIFFERENTIAL EQUATIONS,2007-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/b978-044452965-7/50019-2,,88,"https://api.elsevier.com/content/article/PII:B9780444529657500192?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:B9780444529657500192?httpAccept=text/plain
http://dx.doi.org/10.1016/b978-044452965-7/50019-2"
"Wolf, D.",Stochastic differential equations,None,SupportedSources.CROSSREF,10.1007/bfb0105462,,89,"http://link.springer.com/content/pdf/10.1007/BFb0105462.pdf
http://dx.doi.org/10.1007/bfb0105462"
,Stochastic differential equations,2011-10-06 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511997044.026,,90,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D94C6F8C43458D305370036BB2DA03DB
http://dx.doi.org/10.1017/cbo9780511997044.026"
"Rota, G.",Stochastic differential equations,1976-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0001-8708(76)90054-2,,91,"https://api.elsevier.com/content/article/PII:0001870876900542?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:0001870876900542?httpAccept=text/plain
http://dx.doi.org/10.1016/0001-8708(76)90054-2"
"Le Gall, J.",Stochastic Differential Equations,2016-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-31089-3_8,,92,"http://link.springer.com/content/pdf/10.1007/978-3-319-31089-3_8
http://dx.doi.org/10.1007/978-3-319-31089-3_8"
"McShane, E.",Stochastic Differential Equations,1974-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/b978-0-12-486250-0.50010-3,,93,"https://api.elsevier.com/content/article/PII:B9780124862500500103?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:B9780124862500500103?httpAccept=text/plain
http://dx.doi.org/10.1016/b978-0-12-486250-0.50010-3"
"Kallianpur, G.,Karandikar, R.",Stochastic Differential Equations,2000-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4612-0511-1_4,,94,"http://link.springer.com/content/pdf/10.1007/978-1-4612-0511-1_4.pdf
http://dx.doi.org/10.1007/978-1-4612-0511-1_4"
"Van Kampen, N.",Stochastic differential equations,1976-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0370-1573(76)90029-6,,95,"https://api.elsevier.com/content/article/PII:0370157376900296?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:0370157376900296?httpAccept=text/plain
http://dx.doi.org/10.1016/0370-1573(76)90029-6"
,Stochastic Differential Equations,2019-11-04 00:00:00,SupportedSources.CROSSREF,10.1002/9781118630006.ch9,,96,"https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118630006.ch9
https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118630006.ch9
http://dx.doi.org/10.1002/9781118630006.ch9"
