paper_id,paper_keywords,paper_title,paper_abstract,citation
ocx068.pdf,"blockchain,distributed ledger technology,health information exchange,security,interoperability",Blockchain distributed ledger technologies for biomedical and health care applications,"Objectives: To introduce blockchain technologies, including their benefits, pitfalls, and the latest applications, to the biomedical and health care domains.
Target Audience: Biomedical and health care informatics researchers who would like to learn about blockchain technologies and their applications in the biomedical/health care domains.
Scope: The covered topics include: (1) introduction to the famous Bitcoin crypto-currency and the underlying blockchain technology; (2) features of blockchain; (3) review of alternative blockchain technologies; (4) emerg- ing nonfinancial distributed ledger technologies and applications; (5) benefits of blockchain for biomedical/ health care applications when compared to traditional distributed databases; (6) overview of the latest biomed- ical/health care applications of blockchain technologies; and (7) discussion of the potential challenges and pro- posed solutions of adopting blockchain technologies in biomedical/health care domains.","1. Nakamoto S. Bitcoin: A peer-to-peer electronic cash system. https://bitcoin.org/bitcoin.pdf.2008. Accessed July 30, 2016."
ocx068.pdf,"blockchain,distributed ledger technology,health information exchange,security,interoperability",Blockchain distributed ledger technologies for biomedical and health care applications,"Objectives: To introduce blockchain technologies, including their benefits, pitfalls, and the latest applications, to the biomedical and health care domains.
Target Audience: Biomedical and health care informatics researchers who would like to learn about blockchain technologies and their applications in the biomedical/health care domains.
Scope: The covered topics include: (1) introduction to the famous Bitcoin crypto-currency and the underlying blockchain technology; (2) features of blockchain; (3) review of alternative blockchain technologies; (4) emerg- ing nonfinancial distributed ledger technologies and applications; (5) benefits of blockchain for biomedical/ health care applications when compared to traditional distributed databases; (6) overview of the latest biomed- ical/health care applications of blockchain technologies; and (7) discussion of the potential challenges and pro- posed solutions of adopting blockchain technologies in biomedical/health care domains.","2. Davis J. The Crypto-currency: Bitcoin and Its Mysterious Inventor. The New Yorker. http://www.newyorker.com/magazine/2011/10/10/the-crypto-currency. Accessed January 11, 2017."
ocx068.pdf,"blockchain,distributed ledger technology,health information exchange,security,interoperability",Blockchain distributed ledger technologies for biomedical and health care applications,"Objectives: To introduce blockchain technologies, including their benefits, pitfalls, and the latest applications, to the biomedical and health care domains.
Target Audience: Biomedical and health care informatics researchers who would like to learn about blockchain technologies and their applications in the biomedical/health care domains.
Scope: The covered topics include: (1) introduction to the famous Bitcoin crypto-currency and the underlying blockchain technology; (2) features of blockchain; (3) review of alternative blockchain technologies; (4) emerg- ing nonfinancial distributed ledger technologies and applications; (5) benefits of blockchain for biomedical/ health care applications when compared to traditional distributed databases; (6) overview of the latest biomed- ical/health care applications of blockchain technologies; and (7) discussion of the potential challenges and pro- posed solutions of adopting blockchain technologies in biomedical/health care domains.","3. Calvery JS. Statement of Jennifer Shasky Calvery, Director Financial Crimes Enforcement Network United States Department of the Treasury. Vienna, Virginia, United States: Financial Crimes Enforcement Network; 2013."
ocx068.pdf,"blockchain,distributed ledger technology,health information exchange,security,interoperability",Blockchain distributed ledger technologies for biomedical and health care applications,"Objectives: To introduce blockchain technologies, including their benefits, pitfalls, and the latest applications, to the biomedical and health care domains.
Target Audience: Biomedical and health care informatics researchers who would like to learn about blockchain technologies and their applications in the biomedical/health care domains.
Scope: The covered topics include: (1) introduction to the famous Bitcoin crypto-currency and the underlying blockchain technology; (2) features of blockchain; (3) review of alternative blockchain technologies; (4) emerg- ing nonfinancial distributed ledger technologies and applications; (5) benefits of blockchain for biomedical/ health care applications when compared to traditional distributed databases; (6) overview of the latest biomed- ical/health care applications of blockchain technologies; and (7) discussion of the potential challenges and pro- posed solutions of adopting blockchain technologies in biomedical/health care domains.","4. Dillet R. Bitcoin Ticker Available On Bloomberg Terminal For Employees. TechCrunch. https://techcrunch.com/2013/08/09/bitcoin-tickeravailable-on-bloomberg-terminal/. Accessed December 14, 2016."
ocx068.pdf,"blockchain,distributed ledger technology,health information exchange,security,interoperability",Blockchain distributed ledger technologies for biomedical and health care applications,"Objectives: To introduce blockchain technologies, including their benefits, pitfalls, and the latest applications, to the biomedical and health care domains.
Target Audience: Biomedical and health care informatics researchers who would like to learn about blockchain technologies and their applications in the biomedical/health care domains.
Scope: The covered topics include: (1) introduction to the famous Bitcoin crypto-currency and the underlying blockchain technology; (2) features of blockchain; (3) review of alternative blockchain technologies; (4) emerg- ing nonfinancial distributed ledger technologies and applications; (5) benefits of blockchain for biomedical/ health care applications when compared to traditional distributed databases; (6) overview of the latest biomed- ical/health care applications of blockchain technologies; and (7) discussion of the potential challenges and pro- posed solutions of adopting blockchain technologies in biomedical/health care domains.","5. XE.COM INC. Currency Encyclopedia - XBT Bitcoin. http://www.xe.com/currency/xbt-bitcoin. Accessed February 15, 2017."
ocx068.pdf,"blockchain,distributed ledger technology,health information exchange,security,interoperability",Blockchain distributed ledger technologies for biomedical and health care applications,"Objectives: To introduce blockchain technologies, including their benefits, pitfalls, and the latest applications, to the biomedical and health care domains.
Target Audience: Biomedical and health care informatics researchers who would like to learn about blockchain technologies and their applications in the biomedical/health care domains.
Scope: The covered topics include: (1) introduction to the famous Bitcoin crypto-currency and the underlying blockchain technology; (2) features of blockchain; (3) review of alternative blockchain technologies; (4) emerg- ing nonfinancial distributed ledger technologies and applications; (5) benefits of blockchain for biomedical/ health care applications when compared to traditional distributed databases; (6) overview of the latest biomed- ical/health care applications of blockchain technologies; and (7) discussion of the potential challenges and pro- posed solutions of adopting blockchain technologies in biomedical/health care domains.","6. CoinDesk. Bitcoin Price. http://www.coindesk.com/price/. Accessed April 13, 2017."
ocx068.pdf,"blockchain,distributed ledger technology,health information exchange,security,interoperability",Blockchain distributed ledger technologies for biomedical and health care applications,"Objectives: To introduce blockchain technologies, including their benefits, pitfalls, and the latest applications, to the biomedical and health care domains.
Target Audience: Biomedical and health care informatics researchers who would like to learn about blockchain technologies and their applications in the biomedical/health care domains.
Scope: The covered topics include: (1) introduction to the famous Bitcoin crypto-currency and the underlying blockchain technology; (2) features of blockchain; (3) review of alternative blockchain technologies; (4) emerg- ing nonfinancial distributed ledger technologies and applications; (5) benefits of blockchain for biomedical/ health care applications when compared to traditional distributed databases; (6) overview of the latest biomed- ical/health care applications of blockchain technologies; and (7) discussion of the potential challenges and pro- posed solutions of adopting blockchain technologies in biomedical/health care domains.","7. CoinMarketCap. Crypto-Currency Market Capitalizations. https://coin marketcap.com/. Accessed April 13, 2017."
ocx068.pdf,"blockchain,distributed ledger technology,health information exchange,security,interoperability",Blockchain distributed ledger technologies for biomedical and health care applications,"Objectives: To introduce blockchain technologies, including their benefits, pitfalls, and the latest applications, to the biomedical and health care domains.
Target Audience: Biomedical and health care informatics researchers who would like to learn about blockchain technologies and their applications in the biomedical/health care domains.
Scope: The covered topics include: (1) introduction to the famous Bitcoin crypto-currency and the underlying blockchain technology; (2) features of blockchain; (3) review of alternative blockchain technologies; (4) emerg- ing nonfinancial distributed ledger technologies and applications; (5) benefits of blockchain for biomedical/ health care applications when compared to traditional distributed databases; (6) overview of the latest biomed- ical/health care applications of blockchain technologies; and (7) discussion of the potential challenges and pro- posed solutions of adopting blockchain technologies in biomedical/health care domains.","8. Draupnir M. What Can You Buy with Bitcoin. WeUseCoins. https://www.weusecoins.com/what-can-you-buy-with-bitcoin/. Accessed December 14, 2016."
ocx068.pdf,"blockchain,distributed ledger technology,health information exchange,security,interoperability",Blockchain distributed ledger technologies for biomedical and health care applications,"Objectives: To introduce blockchain technologies, including their benefits, pitfalls, and the latest applications, to the biomedical and health care domains.
Target Audience: Biomedical and health care informatics researchers who would like to learn about blockchain technologies and their applications in the biomedical/health care domains.
Scope: The covered topics include: (1) introduction to the famous Bitcoin crypto-currency and the underlying blockchain technology; (2) features of blockchain; (3) review of alternative blockchain technologies; (4) emerg- ing nonfinancial distributed ledger technologies and applications; (5) benefits of blockchain for biomedical/ health care applications when compared to traditional distributed databases; (6) overview of the latest biomed- ical/health care applications of blockchain technologies; and (7) discussion of the potential challenges and pro- posed solutions of adopting blockchain technologies in biomedical/health care domains.","9. CoinDesk. What Can You Buy with Bitcoin. http://www.coindesk.com/in formation/what-can-you-buy-with-bitcoins/. Accessed December 14, 2016."
ocx068.pdf,"blockchain,distributed ledger technology,health information exchange,security,interoperability",Blockchain distributed ledger technologies for biomedical and health care applications,"Objectives: To introduce blockchain technologies, including their benefits, pitfalls, and the latest applications, to the biomedical and health care domains.
Target Audience: Biomedical and health care informatics researchers who would like to learn about blockchain technologies and their applications in the biomedical/health care domains.
Scope: The covered topics include: (1) introduction to the famous Bitcoin crypto-currency and the underlying blockchain technology; (2) features of blockchain; (3) review of alternative blockchain technologies; (4) emerg- ing nonfinancial distributed ledger technologies and applications; (5) benefits of blockchain for biomedical/ health care applications when compared to traditional distributed databases; (6) overview of the latest biomed- ical/health care applications of blockchain technologies; and (7) discussion of the potential challenges and pro- posed solutions of adopting blockchain technologies in biomedical/health care domains.","10. Coinbase.com.Where Can I Spend Bitcoin. https://support.coinbase.com/customer/portal/articles/1834716. Accessed December 14, 2016."
ocx068.pdf,"blockchain,distributed ledger technology,health information exchange,security,interoperability",Blockchain distributed ledger technologies for biomedical and health care applications,"Objectives: To introduce blockchain technologies, including their benefits, pitfalls, and the latest applications, to the biomedical and health care domains.
Target Audience: Biomedical and health care informatics researchers who would like to learn about blockchain technologies and their applications in the biomedical/health care domains.
Scope: The covered topics include: (1) introduction to the famous Bitcoin crypto-currency and the underlying blockchain technology; (2) features of blockchain; (3) review of alternative blockchain technologies; (4) emerg- ing nonfinancial distributed ledger technologies and applications; (5) benefits of blockchain for biomedical/ health care applications when compared to traditional distributed databases; (6) overview of the latest biomed- ical/health care applications of blockchain technologies; and (7) discussion of the potential challenges and pro- posed solutions of adopting blockchain technologies in biomedical/health care domains.","11. Hughes M. What Are Bitcoins Actually Used For Now in 2016. MakeUseOf. http://www.makeuseof.com/tag/bitcoins-actually-used-now-2016/. Accessed December 14, 2016."
ocx068.pdf,"blockchain,distributed ledger technology,health information exchange,security,interoperability",Blockchain distributed ledger technologies for biomedical and health care applications,"Objectives: To introduce blockchain technologies, including their benefits, pitfalls, and the latest applications, to the biomedical and health care domains.
Target Audience: Biomedical and health care informatics researchers who would like to learn about blockchain technologies and their applications in the biomedical/health care domains.
Scope: The covered topics include: (1) introduction to the famous Bitcoin crypto-currency and the underlying blockchain technology; (2) features of blockchain; (3) review of alternative blockchain technologies; (4) emerg- ing nonfinancial distributed ledger technologies and applications; (5) benefits of blockchain for biomedical/ health care applications when compared to traditional distributed databases; (6) overview of the latest biomed- ical/health care applications of blockchain technologies; and (7) discussion of the potential challenges and pro- posed solutions of adopting blockchain technologies in biomedical/health care domains.","12. Fromknecht C, Velicanu D, Yakoubov S. A decentralized public key infrastructure with identity retention. IACR Cryptology ePrint Archive. 2014;2014:803."
